age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle,label
2,2,20,210,2,34,7,21,212,1515,8,54,9,17,0
2,2,20,290,2,34,7,21,190,2404,8,13,8,15,0
5,2,20,108,2,34,3,21,329,2204,8,55,2,17,0
2,2,24,214,4,11,3,35,315,2034,8,17,6,17,1
3,4,20,178,4,31,2,20,247,2118,8,22,9,10,0
4,2,25,210,2,34,5,13,143,1537,8,40,4,17,0
8,2,41,255,2,31,3,21,135,2029,8,14,2,11,0
6,4,33,316,3,27,2,11,315,2203,8,53,1,17,0
5,2,26,320,2,34,7,17,135,2120,8,40,0,16,1
8,3,32,347,4,30,2,20,347,2120,8,23,9,17,0
8,3,42,156,5,31,3,35,354,2116,8,23,5,11,0
5,2,19,323,2,34,7,20,208,2117,8,37,0,10,1
4,2,40,398,5,11,8,37,330,2428,8,24,3,11,0
6,4,33,318,2,27,2,11,122,2393,8,23,0,17,0
5,2,12,271,2,34,7,18,205,1546,8,42,4,17,0
7,3,20,128,2,11,8,33,319,1794,8,29,3,17,0
6,4,33,317,3,27,2,13,245,2116,8,28,8,17,0
4,2,30,383,5,30,3,35,322,1582,8,69,0,17,0
5,3,30,169,5,31,3,20,355,2116,8,22,3,17,0
6,4,32,315,3,27,2,11,320,2116,8,23,1,17,0
5,2,17,265,2,16,5,21,215,1888,8,13,9,17,0
4,4,19,321,4,31,6,20,213,2117,8,40,0,16,0
2,2,11,375,2,31,3,20,248,2119,8,39,0,15,0
6,4,33,317,3,27,2,11,345,2390,8,23,8,17,0
7,2,17,327,5,31,3,20,348,2114,8,38,0,11,0
4,4,33,344,3,27,2,11,319,2027,8,23,9,17,0
5,2,17,117,4,30,3,12,348,2123,8,23,5,13,1
5,2,20,376,2,34,7,21,217,1204,5,13,0,15,0
8,2,21,241,5,30,3,28,350,2118,8,22,5,17,0
5,2,16,227,2,34,7,21,201,1863,8,46,4,15,0
8,2,44,164,5,31,3,20,352,2114,8,23,5,17,0
7,2,20,273,2,34,3,21,122,1568,8,39,6,15,0
6,4,33,318,3,27,2,11,348,2400,8,30,1,17,0
7,2,16,348,5,32,3,20,346,2119,8,39,0,16,1
7,4,32,318,3,27,2,18,248,2115,8,23,0,17,0
3,2,39,249,4,11,8,37,322,2540,8,29,9,10,0
2,4,33,170,4,27,2,35,346,2113,8,23,6,17,0
9,2,11,311,2,34,7,18,142,2122,8,38,4,16,0
2,3,19,111,2,34,7,20,342,2544,8,40,0,10,0
5,2,19,196,2,34,7,21,208,1868,8,43,4,15,0
5,2,44,228,2,34,7,21,199,1662,8,42,0,15,0
7,3,16,283,4,23,8,36,317,2113,8,22,0,17,0
5,2,34,196,4,20,4,17,228,1784,8,29,0,12,0
5,3,20,400,2,34,7,20,145,2118,8,39,3,17,0
7,2,20,211,2,31,3,21,348,1564,8,18,5,17,0
5,2,16,202,2,16,5,21,118,2415,8,55,9,17,0
7,2,33,226,2,34,7,21,188,1566,8,55,3,17,0
2,2,25,210,2,32,7,20,203,2120,8,39,0,16,0
5,2,26,437,2,16,5,21,188,2422,8,19,5,17,0
6,4,33,320,3,27,6,11,152,2117,8,39,0,13,0
2,2,28,236,5,31,3,21,155,1511,8,23,0,17,0
8,2,30,249,5,31,3,20,351,2119,8,23,0,17,0
5,2,13,131,2,34,5,21,184,2414,8,56,8,17,0
7,4,33,325,3,31,2,20,144,2122,8,61,2,17,0
2,3,45,350,5,31,3,20,215,2123,8,23,9,11,0
6,4,33,321,3,27,2,12,246,2118,8,60,1,17,0
3,4,25,197,2,20,4,11,347,2182,8,41,4,17,0
4,2,20,162,5,31,3,20,252,2119,8,23,0,17,0
5,2,15,159,4,10,8,37,315,2117,8,42,9,17,0
3,3,45,270,4,31,3,20,150,2113,8,39,2,17,0
7,2,33,394,2,10,8,32,311,2404,8,23,8,17,0
7,3,18,138,5,31,3,20,354,2120,8,23,2,17,0
7,2,14,278,5,31,3,20,357,2034,8,18,2,17,0
8,2,39,377,5,11,8,34,315,2537,8,38,3,17,0
7,2,31,363,5,31,3,20,354,2123,8,23,6,17,0
7,2,39,266,4,31,3,13,316,2193,8,23,5,17,0
5,2,45,191,2,34,7,21,204,1591,8,16,0,15,1
5,2,17,247,2,15,5,21,191,2413,5,59,0,17,0
6,4,33,319,3,27,2,11,220,2113,8,22,8,17,0
2,2,45,219,2,10,4,21,343,2411,8,29,9,17,0
7,2,25,223,2,11,8,33,316,2402,8,29,7,17,0
6,4,32,323,3,27,2,11,345,2117,8,22,3,17,0
2,2,21,353,5,30,3,35,218,2123,8,37,6,11,0
7,2,20,109,2,34,5,17,209,1556,8,29,4,17,0
2,2,20,363,4,31,3,17,244,2125,8,23,2,17,0
7,3,41,132,5,30,3,35,354,2401,8,22,7,17,0
6,4,33,315,3,27,2,11,116,2116,8,22,1,17,0
6,4,33,316,3,27,2,11,315,2510,8,22,7,17,0
2,2,16,166,4,34,7,20,207,2206,8,37,0,11,1
2,2,10,321,4,31,6,20,248,2118,8,61,7,17,0
6,4,33,317,2,27,2,31,311,1813,8,23,9,17,0
6,4,33,315,3,27,2,11,216,2488,8,23,1,17,0
2,2,20,112,4,31,8,20,347,2115,8,40,0,12,0
5,2,20,212,2,16,3,21,349,2406,8,14,8,17,0
2,3,21,252,5,31,3,20,349,2118,8,23,7,17,0
7,2,16,216,2,31,3,20,342,2217,8,13,0,11,1
2,2,20,284,5,30,3,35,327,2121,8,22,3,11,0
5,2,25,275,2,16,7,21,197,2405,8,59,5,15,0
8,2,16,429,5,34,7,21,345,2403,8,18,4,17,0
2,2,20,385,2,31,7,20,246,2115,8,18,9,17,0
3,2,44,155,5,30,3,35,253,2118,8,23,5,17,0
5,2,17,140,2,31,3,20,349,2120,8,13,4,17,0
6,4,33,316,3,27,2,11,120,2113,8,23,1,17,0
5,2,45,288,2,34,7,21,228,2392,5,58,0,17,0
6,4,33,321,3,27,2,11,246,2107,8,23,0,11,0
5,2,38,378,2,34,7,18,209,2114,8,39,2,17,0
2,2,21,386,5,31,3,21,355,2114,8,18,2,17,0
3,2,30,168,5,31,3,20,351,2113,8,18,6,17,0
