,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.969,0.77,0.0,0.0,0.0,0.113,0.0,0.0,1.0,1.0
Training_DT,0.95,0.637,0.232,0.243,0.221,0.09,0.243,0.027,0.973,0.757
Training_KNN,0.968,0.67,0.083,0.047,0.37,0.086,0.047,0.003,0.997,0.953
Training_NB,0.935,0.764,0.166,0.21,0.137,0.107,0.21,0.042,0.958,0.79
Training_SVM,0.969,0.612,0.0,0.0,0.0,0.11,0.0,0.0,1.0,1.0
Training_RF,0.967,0.808,0.235,0.164,0.417,0.229,0.164,0.007,0.993,0.836
Training_XGB,0.969,0.763,0.222,0.145,0.477,0.218,0.145,0.005,0.995,0.855
Holdout_LR,0.969,0.778,0.0,0.0,0.0,0.122,0.0,0.0,1.0,1.0
Holdout_DT,0.955,0.618,0.236,0.224,0.25,0.089,0.224,0.021,0.979,0.776
Holdout_KNN,0.966,0.662,0.041,0.023,0.156,0.072,0.023,0.004,0.996,0.977
Holdout_NB,0.91,0.763,0.151,0.262,0.106,0.11,0.262,0.07,0.93,0.738
Holdout_SVM,0.969,0.638,0.0,0.0,0.0,0.134,0.0,0.0,1.0,1.0
Holdout_RF,0.967,0.776,0.212,0.145,0.392,0.21,0.145,0.007,0.993,0.855
Holdout_XGB,0.965,0.748,0.182,0.126,0.325,0.172,0.126,0.008,0.992,0.874
CTGAN_1_LR,0.969,0.773,0.0,0.0,0.0,0.118,0.0,0.0,1.0,1.0
CTGAN_1_DT,0.952,0.641,0.243,0.252,0.235,0.096,0.252,0.026,0.974,0.748
CTGAN_1_KNN,0.968,0.666,0.083,0.047,0.357,0.085,0.047,0.003,0.997,0.953
CTGAN_1_NB,0.93,0.765,0.165,0.224,0.13,0.105,0.224,0.048,0.952,0.776
CTGAN_1_SVM,0.969,0.605,0.0,0.0,0.0,0.118,0.0,0.0,1.0,1.0
CTGAN_1_RF,0.967,0.798,0.241,0.168,0.424,0.23,0.168,0.007,0.993,0.832
CTGAN_1_XGB,0.968,0.763,0.239,0.164,0.443,0.229,0.164,0.007,0.993,0.836
CTGAN_2_LR,0.969,0.772,0.0,0.0,0.0,0.116,0.0,0.0,1.0,1.0
CTGAN_2_DT,0.957,0.63,0.249,0.234,0.266,0.098,0.234,0.02,0.98,0.766
CTGAN_2_KNN,0.968,0.671,0.076,0.042,0.375,0.085,0.042,0.002,0.998,0.958
CTGAN_2_NB,0.929,0.763,0.162,0.224,0.127,0.103,0.224,0.049,0.951,0.776
CTGAN_2_SVM,0.969,0.597,0.0,0.0,0.0,0.118,0.0,0.0,1.0,1.0
CTGAN_2_RF,0.967,0.79,0.246,0.173,0.425,0.223,0.173,0.007,0.993,0.827
CTGAN_2_XGB,0.969,0.757,0.223,0.145,0.484,0.221,0.145,0.005,0.995,0.855
CTGAN_3_LR,0.969,0.771,0.0,0.0,0.0,0.112,0.0,0.0,1.0,1.0
CTGAN_3_DT,0.956,0.622,0.239,0.224,0.257,0.092,0.224,0.021,0.979,0.776
CTGAN_3_KNN,0.968,0.683,0.075,0.042,0.346,0.09,0.042,0.003,0.997,0.958
CTGAN_3_NB,0.927,0.762,0.156,0.22,0.121,0.101,0.22,0.051,0.949,0.78
CTGAN_3_SVM,0.969,0.61,0.0,0.0,0.0,0.118,0.0,0.0,1.0,1.0
CTGAN_3_RF,0.967,0.791,0.238,0.168,0.409,0.219,0.168,0.008,0.992,0.832
CTGAN_3_XGB,0.969,0.75,0.237,0.154,0.508,0.215,0.154,0.005,0.995,0.846
CTGAN_4_LR,0.969,0.771,0.0,0.0,0.0,0.109,0.0,0.0,1.0,1.0
CTGAN_4_DT,0.955,0.633,0.251,0.248,0.255,0.097,0.248,0.023,0.977,0.752
CTGAN_4_KNN,0.968,0.678,0.075,0.042,0.36,0.091,0.042,0.002,0.998,0.958
CTGAN_4_NB,0.925,0.762,0.158,0.229,0.121,0.101,0.229,0.053,0.947,0.771
CTGAN_4_SVM,0.969,0.606,0.0,0.0,0.0,0.115,0.0,0.0,1.0,1.0
CTGAN_4_RF,0.967,0.801,0.235,0.164,0.417,0.225,0.164,0.007,0.993,0.836
CTGAN_4_XGB,0.968,0.748,0.225,0.15,0.457,0.199,0.15,0.006,0.994,0.85
CTGAN_5_LR,0.969,0.769,0.0,0.0,0.0,0.106,0.0,0.0,1.0,1.0
CTGAN_5_DT,0.955,0.635,0.265,0.266,0.264,0.101,0.266,0.024,0.976,0.734
CTGAN_5_KNN,0.969,0.675,0.084,0.047,0.4,0.091,0.047,0.002,0.998,0.953
CTGAN_5_NB,0.925,0.761,0.161,0.234,0.123,0.101,0.234,0.053,0.947,0.766
CTGAN_5_SVM,0.969,0.601,0.0,0.0,0.0,0.116,0.0,0.0,1.0,1.0
CTGAN_5_RF,0.967,0.802,0.246,0.178,0.4,0.225,0.178,0.008,0.992,0.822
CTGAN_5_XGB,0.969,0.747,0.244,0.164,0.479,0.213,0.164,0.006,0.994,0.836
CTABGAN_1_LR,0.969,0.765,0.0,0.0,0.0,0.109,0.0,0.0,1.0,1.0
CTABGAN_1_DT,0.954,0.617,0.223,0.215,0.231,0.084,0.215,0.023,0.977,0.785
CTABGAN_1_KNN,0.968,0.663,0.076,0.042,0.375,0.082,0.042,0.002,0.998,0.958
CTABGAN_1_NB,0.932,0.762,0.159,0.21,0.128,0.107,0.21,0.045,0.955,0.79
CTABGAN_1_SVM,0.969,0.61,0.0,0.0,0.0,0.111,0.0,0.0,1.0,1.0
CTABGAN_1_RF,0.967,0.784,0.236,0.164,0.422,0.228,0.164,0.007,0.993,0.836
CTABGAN_1_XGB,0.968,0.757,0.246,0.168,0.456,0.211,0.168,0.006,0.994,0.832
CTABGAN_2_LR,0.969,0.761,0.0,0.0,0.0,0.107,0.0,0.0,1.0,1.0
CTABGAN_2_DT,0.955,0.635,0.257,0.252,0.261,0.1,0.252,0.023,0.977,0.748
CTABGAN_2_KNN,0.968,0.669,0.076,0.042,0.375,0.085,0.042,0.002,0.998,0.958
CTABGAN_2_NB,0.931,0.76,0.155,0.206,0.125,0.105,0.206,0.046,0.954,0.794
CTABGAN_2_SVM,0.969,0.61,0.0,0.0,0.0,0.111,0.0,0.0,1.0,1.0
CTABGAN_2_RF,0.967,0.787,0.223,0.154,0.402,0.218,0.154,0.007,0.993,0.846
CTABGAN_2_XGB,0.967,0.749,0.202,0.136,0.397,0.21,0.136,0.007,0.993,0.864
CTABGAN_3_LR,0.969,0.758,0.0,0.0,0.0,0.104,0.0,0.0,1.0,1.0
CTABGAN_3_DT,0.956,0.628,0.239,0.224,0.257,0.095,0.224,0.021,0.979,0.776
