,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.97,0.723,0.0,0.0,0.0,0.081,0.0,0.0,1.0,1.0
Training_DT,0.95,0.593,0.192,0.2,0.184,0.064,0.2,0.027,0.973,0.8
Training_KNN,0.969,0.592,0.046,0.025,0.286,0.051,0.025,0.002,0.998,0.975
Training_NB,0.922,0.717,0.147,0.225,0.109,0.077,0.225,0.056,0.944,0.775
Training_SVM,0.97,0.631,0.0,0.0,0.0,0.104,0.0,0.0,1.0,1.0
Training_RF,0.968,0.698,0.187,0.125,0.37,0.158,0.125,0.007,0.993,0.875
Training_XGB,0.966,0.697,0.211,0.15,0.353,0.161,0.15,0.008,0.992,0.85
Holdout_LR,0.97,0.689,0.0,0.0,0.0,0.085,0.0,0.0,1.0,1.0
Holdout_DT,0.951,0.574,0.154,0.15,0.158,0.053,0.15,0.025,0.975,0.85
Holdout_KNN,0.969,0.547,0.024,0.012,0.2,0.04,0.012,0.002,0.998,0.988
Holdout_NB,0.053,0.664,0.057,0.962,0.029,0.073,0.962,0.975,0.025,0.038
Holdout_SVM,0.97,0.594,0.0,0.0,0.0,0.127,0.0,0.0,1.0,1.0
Holdout_RF,0.969,0.685,0.176,0.112,0.409,0.162,0.112,0.005,0.995,0.888
Holdout_XGB,0.965,0.679,0.162,0.112,0.29,0.137,0.112,0.008,0.992,0.888
CTGAN_LR,0.97,0.724,0.0,0.0,0.0,0.085,0.0,0.0,1.0,1.0
CTGAN_DT,0.901,0.549,0.095,0.175,0.065,0.036,0.175,0.077,0.923,0.825
CTGAN_KNN,0.963,0.537,0.02,0.012,0.05,0.033,0.012,0.007,0.993,0.988
CTGAN_NB,0.949,0.717,0.081,0.075,0.087,0.088,0.075,0.024,0.976,0.925
CTGAN_SVM,0.97,0.64,0.0,0.0,0.0,0.054,0.0,0.0,1.0,1.0
CTGAN_RF,0.963,0.659,0.039,0.025,0.087,0.052,0.025,0.008,0.992,0.975
CTGAN_XGB,0.954,0.636,0.046,0.038,0.06,0.051,0.038,0.018,0.982,0.962
CTABGAN_LR,0.97,0.67,0.0,0.0,0.0,0.084,0.0,0.0,1.0,1.0
CTABGAN_DT,0.889,0.501,0.045,0.088,0.03,0.03,0.088,0.086,0.914,0.912
CTABGAN_KNN,0.968,0.542,0.0,0.0,0.0,0.036,0.0,0.002,0.998,1.0
CTABGAN_NB,0.942,0.672,0.083,0.088,0.079,0.055,0.088,0.031,0.969,0.912
CTABGAN_SVM,0.97,0.486,0.0,0.0,0.0,0.046,0.0,0.0,1.0,1.0
CTABGAN_RF,0.97,0.553,0.0,0.0,0.0,0.043,0.0,0.0,1.0,1.0
CTABGAN_XGB,0.97,0.588,0.024,0.012,0.333,0.057,0.012,0.001,0.999,0.988
TVAE_LR,0.97,0.707,0.0,0.0,0.0,0.077,0.0,0.0,1.0,1.0
TVAE_DT,0.942,0.54,0.104,0.112,0.097,0.037,0.112,0.032,0.968,0.888
TVAE_KNN,0.969,0.563,0.046,0.025,0.286,0.048,0.025,0.002,0.998,0.975
TVAE_NB,0.529,0.7,0.092,0.8,0.049,0.077,0.8,0.48,0.52,0.2
TVAE_SVM,0.97,0.668,0.0,0.0,0.0,0.079,0.0,0.0,1.0,1.0
TVAE_RF,0.97,0.615,0.0,0.0,0.0,0.057,0.0,0.0,1.0,1.0
TVAE_XGB,0.966,0.702,0.0,0.0,0.0,0.075,0.0,0.004,0.996,1.0
DS_LR,0.97,0.605,0.0,0.0,0.0,0.044,0.0,0.0,1.0,1.0
DS_DT,0.924,0.519,0.065,0.088,0.051,0.032,0.088,0.05,0.95,0.912
DS_KNN,0.969,0.51,0.0,0.0,0.0,0.031,0.0,0.001,0.999,1.0
DS_NB,0.97,0.637,0.0,0.0,0.0,0.057,0.0,0.0,1.0,1.0
DS_SVM,0.97,0.474,0.0,0.0,0.0,0.033,0.0,0.0,1.0,1.0
DS_RF,0.97,0.593,0.0,0.0,0.0,0.046,0.0,0.0,1.0,1.0
DS_XGB,0.968,0.592,0.0,0.0,0.0,0.04,0.0,0.002,0.998,1.0
GReaT_LR,0.97,0.361,0.0,0.0,0.0,0.023,0.0,0.0,1.0,1.0
GReaT_DT,0.96,0.501,0.018,0.012,0.034,0.03,0.012,0.011,0.989,0.988
GReaT_KNN,0.97,0.49,0.0,0.0,0.0,0.03,0.0,0.0,1.0,1.0
GReaT_NB,0.127,0.381,0.046,0.7,0.024,0.024,0.7,0.89,0.11,0.3
GReaT_SVM,0.97,0.589,0.0,0.0,0.0,0.04,0.0,0.0,1.0,1.0
GReaT_RF,0.97,0.491,0.0,0.0,0.0,0.029,0.0,0.0,1.0,1.0
GReaT_XGB,0.97,0.534,0.0,0.0,0.0,0.032,0.0,0.0,1.0,1.0
Tabula_LR,0.97,0.712,0.0,0.0,0.0,0.078,0.0,0.0,1.0,1.0
Tabula_DT,0.935,0.531,0.094,0.112,0.08,0.036,0.112,0.04,0.96,0.888
Tabula_KNN,0.968,0.57,0.044,0.025,0.2,0.05,0.025,0.003,0.997,0.975
Tabula_NB,0.053,0.688,0.057,0.962,0.029,0.064,0.962,0.975,0.025,0.038
Tabula_SVM,0.97,0.603,0.0,0.0,0.0,0.072,0.0,0.0,1.0,1.0
Tabula_RF,0.969,0.692,0.045,0.025,0.25,0.098,0.025,0.002,0.998,0.975
Tabula_XGB,0.968,0.694,0.085,0.05,0.286,0.103,0.05,0.004,0.996,0.95
TabDDPM_LR,0.97,0.65,0.0,0.0,0.0,0.064,0.0,0.0,1.0,1.0
TabDDPM_DT,0.947,0.518,0.065,0.062,0.068,0.032,0.062,0.026,0.974,0.938
TabDDPM_KNN,0.97,0.576,0.0,0.0,0.0,0.052,0.0,0.0,1.0,1.0
TabDDPM_NB,0.944,0.633,0.038,0.038,0.039,0.056,0.038,0.028,0.972,0.962
TabDDPM_SVM,0.97,0.542,0.0,0.0,0.0,0.044,0.0,0.0,1.0,1.0
TabDDPM_RF,0.97,0.615,0.0,0.0,0.0,0.066,0.0,0.0,1.0,1.0
TabDDPM_XGB,0.97,0.605,0.0,0.0,0.0,0.053,0.0,0.0,1.0,1.0
