,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.969,0.77,0.0,0.0,0.0,0.113,0.0,0.0,1.0,1.0
Training_DT,0.95,0.637,0.232,0.243,0.221,0.09,0.243,0.027,0.973,0.757
Training_KNN,0.968,0.67,0.083,0.047,0.37,0.086,0.047,0.003,0.997,0.953
Training_NB,0.935,0.764,0.166,0.21,0.137,0.107,0.21,0.042,0.958,0.79
Training_SVM,0.969,0.612,0.0,0.0,0.0,0.11,0.0,0.0,1.0,1.0
Training_RF,0.967,0.808,0.235,0.164,0.417,0.229,0.164,0.007,0.993,0.836
Training_XGB,0.969,0.763,0.222,0.145,0.477,0.218,0.145,0.005,0.995,0.855
Holdout_LR,0.969,0.778,0.0,0.0,0.0,0.122,0.0,0.0,1.0,1.0
Holdout_DT,0.955,0.618,0.236,0.224,0.25,0.089,0.224,0.021,0.979,0.776
Holdout_KNN,0.966,0.662,0.041,0.023,0.156,0.072,0.023,0.004,0.996,0.977
Holdout_NB,0.91,0.763,0.151,0.262,0.106,0.11,0.262,0.07,0.93,0.738
Holdout_SVM,0.969,0.638,0.0,0.0,0.0,0.134,0.0,0.0,1.0,1.0
Holdout_RF,0.967,0.776,0.212,0.145,0.392,0.21,0.145,0.007,0.993,0.855
Holdout_XGB,0.965,0.748,0.182,0.126,0.325,0.172,0.126,0.008,0.992,0.874
CTGAN_LR,0.968,0.723,0.0,0.0,0.0,0.078,0.0,0.001,0.999,1.0
CTGAN_DT,0.941,0.54,0.105,0.112,0.099,0.038,0.112,0.032,0.968,0.888
CTGAN_KNN,0.96,0.55,0.09,0.065,0.146,0.044,0.065,0.012,0.988,0.935
CTGAN_NB,0.428,0.721,0.085,0.869,0.045,0.082,0.869,0.586,0.414,0.131
CTGAN_SVM,0.968,0.556,0.058,0.033,0.269,0.056,0.033,0.003,0.997,0.967
CTGAN_RF,0.963,0.655,0.085,0.056,0.176,0.079,0.056,0.008,0.992,0.944
CTGAN_XGB,0.958,0.611,0.093,0.07,0.139,0.062,0.07,0.014,0.986,0.93
CTABGAN_LR,0.969,0.646,0.0,0.0,0.0,0.054,0.0,0.0,1.0,1.0
CTABGAN_DT,0.957,0.5,0.02,0.014,0.032,0.031,0.014,0.013,0.987,0.986
CTABGAN_KNN,0.969,0.496,0.0,0.0,0.0,0.031,0.0,0.0,1.0,1.0
CTABGAN_NB,0.079,0.638,0.062,0.995,0.032,0.071,0.995,0.95,0.05,0.005
CTABGAN_SVM,0.969,0.455,0.0,0.0,0.0,0.029,0.0,0.0,1.0,1.0
CTABGAN_RF,0.969,0.598,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0
CTABGAN_XGB,0.969,0.561,0.009,0.005,1.0,0.045,0.005,0.0,1.0,0.995
TVAE_LR,0.969,0.719,0.0,0.0,0.0,0.081,0.0,0.0,1.0,1.0
TVAE_DT,0.955,0.536,0.109,0.089,0.14,0.04,0.089,0.017,0.983,0.911
TVAE_KNN,0.969,0.508,0.0,0.0,0.0,0.031,0.0,0.0,1.0,1.0
TVAE_NB,0.697,0.545,0.039,0.201,0.022,0.031,0.201,0.287,0.713,0.799
TVAE_SVM,0.969,0.491,0.0,0.0,0.0,0.033,0.0,0.0,1.0,1.0
TVAE_RF,0.969,0.7,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
TVAE_XGB,0.968,0.677,0.0,0.0,0.0,0.063,0.0,0.001,0.999,1.0
DS_LR,0.969,0.775,0.0,0.0,0.0,0.129,0.0,0.0,1.0,1.0
DS_DT,0.935,0.532,0.088,0.103,0.077,0.036,0.103,0.039,0.961,0.897
DS_KNN,0.968,0.591,0.018,0.009,0.154,0.045,0.009,0.002,0.998,0.991
DS_NB,0.96,0.769,0.096,0.07,0.155,0.113,0.07,0.012,0.988,0.93
DS_SVM,0.969,0.561,0.0,0.0,0.0,0.057,0.0,0.0,1.0,1.0
DS_RF,0.969,0.727,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
DS_XGB,0.969,0.717,0.0,0.0,0.0,0.086,0.0,0.0,1.0,1.0
GReaT_LR,0.969,0.607,0.0,0.0,0.0,0.044,0.0,0.0,1.0,1.0
GReaT_DT,0.96,0.498,0.007,0.005,0.015,0.031,0.005,0.01,0.99,0.995
GReaT_KNN,0.969,0.499,0.0,0.0,0.0,0.031,0.0,0.0,1.0,1.0
GReaT_NB,0.954,0.516,0.006,0.005,0.009,0.033,0.005,0.016,0.984,0.995
GReaT_SVM,0.969,0.535,0.0,0.0,0.0,0.036,0.0,0.0,1.0,1.0
GReaT_RF,0.969,0.548,0.0,0.0,0.0,0.036,0.0,0.0,1.0,1.0
GReaT_XGB,0.969,0.501,0.0,0.0,0.0,0.034,0.0,0.001,0.999,1.0
Tabula_LR,0.969,0.754,0.0,0.0,0.0,0.098,0.0,0.0,1.0,1.0
Tabula_DT,0.936,0.546,0.115,0.136,0.1,0.041,0.136,0.039,0.961,0.864
Tabula_KNN,0.968,0.567,0.009,0.005,0.111,0.039,0.005,0.001,0.999,0.995
Tabula_NB,0.95,0.731,0.044,0.037,0.053,0.075,0.037,0.021,0.979,0.963
Tabula_SVM,0.969,0.562,0.0,0.0,0.0,0.052,0.0,0.0,1.0,1.0
Tabula_RF,0.966,0.734,0.008,0.005,0.042,0.08,0.005,0.003,0.997,0.995
Tabula_XGB,0.967,0.671,0.041,0.023,0.185,0.077,0.023,0.003,0.997,0.977
TabDDPM_LR,0.969,0.766,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
TabDDPM_DT,0.938,0.507,0.044,0.047,0.042,0.031,0.047,0.033,0.967,0.953
TabDDPM_KNN,0.969,0.554,0.0,0.0,0.0,0.037,0.0,0.0,1.0,1.0
TabDDPM_NB,0.962,0.759,0.058,0.037,0.125,0.1,0.037,0.008,0.992,0.963
TabDDPM_SVM,0.969,0.505,0.0,0.0,0.0,0.039,0.0,0.0,1.0,1.0
TabDDPM_RF,0.969,0.7,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
TabDDPM_XGB,0.969,0.655,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
