,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.97,0.723,0.0,0.0,0.0,0.081,0.0,0.0,1.0,1.0
Training_DT,0.95,0.593,0.192,0.2,0.184,0.064,0.2,0.027,0.973,0.8
Training_KNN,0.969,0.592,0.046,0.025,0.286,0.051,0.025,0.002,0.998,0.975
Training_NB,0.922,0.717,0.147,0.225,0.109,0.077,0.225,0.056,0.944,0.775
Training_SVM,0.97,0.631,0.0,0.0,0.0,0.104,0.0,0.0,1.0,1.0
Training_RF,0.968,0.698,0.187,0.125,0.37,0.158,0.125,0.007,0.993,0.875
Training_XGB,0.966,0.697,0.211,0.15,0.353,0.161,0.15,0.008,0.992,0.85
Holdout_LR,0.97,0.689,0.0,0.0,0.0,0.085,0.0,0.0,1.0,1.0
Holdout_DT,0.951,0.574,0.154,0.15,0.158,0.053,0.15,0.025,0.975,0.85
Holdout_KNN,0.969,0.547,0.024,0.012,0.2,0.04,0.012,0.002,0.998,0.988
Holdout_NB,0.053,0.664,0.057,0.962,0.029,0.073,0.962,0.975,0.025,0.038
Holdout_SVM,0.97,0.594,0.0,0.0,0.0,0.127,0.0,0.0,1.0,1.0
Holdout_RF,0.969,0.685,0.176,0.112,0.409,0.162,0.112,0.005,0.995,0.888
Holdout_XGB,0.965,0.679,0.162,0.112,0.29,0.137,0.112,0.008,0.992,0.888
CTGAN_1_LR,0.97,0.724,0.0,0.0,0.0,0.078,0.0,0.0,1.0,1.0
CTGAN_1_DT,0.945,0.572,0.149,0.162,0.138,0.05,0.162,0.031,0.969,0.838
CTGAN_1_KNN,0.969,0.588,0.047,0.025,0.333,0.051,0.025,0.002,0.998,0.975
CTGAN_1_NB,0.927,0.72,0.147,0.212,0.113,0.075,0.212,0.051,0.949,0.788
CTGAN_1_SVM,0.97,0.597,0.0,0.0,0.0,0.081,0.0,0.0,1.0,1.0
CTGAN_1_RF,0.967,0.709,0.185,0.125,0.357,0.16,0.125,0.007,0.993,0.875
CTGAN_1_XGB,0.968,0.7,0.202,0.138,0.379,0.174,0.138,0.007,0.993,0.862
CTGAN_2_LR,0.97,0.726,0.0,0.0,0.0,0.075,0.0,0.0,1.0,1.0
CTGAN_2_DT,0.95,0.606,0.211,0.225,0.198,0.071,0.225,0.028,0.972,0.775
CTGAN_2_KNN,0.969,0.587,0.047,0.025,0.333,0.058,0.025,0.002,0.998,0.975
CTGAN_2_NB,0.929,0.721,0.159,0.225,0.123,0.076,0.225,0.049,0.951,0.775
CTGAN_2_SVM,0.97,0.599,0.0,0.0,0.0,0.087,0.0,0.0,1.0,1.0
CTGAN_2_RF,0.967,0.711,0.183,0.125,0.345,0.16,0.125,0.007,0.993,0.875
CTGAN_2_XGB,0.968,0.704,0.204,0.138,0.393,0.16,0.138,0.007,0.993,0.862
CTGAN_3_LR,0.97,0.729,0.0,0.0,0.0,0.071,0.0,0.0,1.0,1.0
CTGAN_3_DT,0.942,0.583,0.16,0.188,0.14,0.053,0.188,0.035,0.965,0.812
CTGAN_3_KNN,0.969,0.578,0.047,0.025,0.333,0.056,0.025,0.002,0.998,0.975
CTGAN_3_NB,0.937,0.718,0.133,0.162,0.112,0.075,0.162,0.04,0.96,0.838
CTGAN_3_SVM,0.97,0.61,0.0,0.0,0.0,0.086,0.0,0.0,1.0,1.0
CTGAN_3_RF,0.968,0.703,0.187,0.125,0.37,0.15,0.125,0.007,0.993,0.875
CTGAN_3_XGB,0.965,0.719,0.203,0.15,0.316,0.163,0.15,0.01,0.99,0.85
CTGAN_4_LR,0.97,0.725,0.0,0.0,0.0,0.069,0.0,0.0,1.0,1.0
CTGAN_4_DT,0.94,0.57,0.138,0.162,0.12,0.047,0.162,0.036,0.964,0.838
CTGAN_4_KNN,0.968,0.57,0.044,0.025,0.2,0.043,0.025,0.003,0.997,0.975
CTGAN_4_NB,0.936,0.718,0.132,0.162,0.111,0.075,0.162,0.04,0.96,0.838
CTGAN_4_SVM,0.97,0.593,0.0,0.0,0.0,0.075,0.0,0.0,1.0,1.0
CTGAN_4_RF,0.968,0.72,0.187,0.125,0.37,0.156,0.125,0.007,0.993,0.875
CTGAN_4_XGB,0.968,0.724,0.202,0.138,0.379,0.168,0.138,0.007,0.993,0.862
CTGAN_5_LR,0.97,0.724,0.0,0.0,0.0,0.068,0.0,0.0,1.0,1.0
CTGAN_5_DT,0.944,0.604,0.195,0.225,0.171,0.066,0.225,0.033,0.967,0.775
CTGAN_5_KNN,0.968,0.597,0.023,0.012,0.143,0.045,0.012,0.002,0.998,0.988
CTGAN_5_NB,0.939,0.717,0.137,0.162,0.118,0.076,0.162,0.037,0.963,0.838
CTGAN_5_SVM,0.97,0.609,0.0,0.0,0.0,0.078,0.0,0.0,1.0,1.0
CTGAN_5_RF,0.968,0.734,0.187,0.125,0.37,0.156,0.125,0.007,0.993,0.875
CTGAN_5_XGB,0.968,0.731,0.206,0.138,0.407,0.14,0.138,0.006,0.994,0.862
CTABGAN_1_LR,0.97,0.724,0.0,0.0,0.0,0.081,0.0,0.0,1.0,1.0
CTABGAN_1_DT,0.952,0.593,0.198,0.2,0.195,0.066,0.2,0.025,0.975,0.8
CTABGAN_1_KNN,0.969,0.598,0.046,0.025,0.286,0.052,0.025,0.002,0.998,0.975
CTABGAN_1_NB,0.922,0.72,0.147,0.225,0.109,0.078,0.225,0.056,0.944,0.775
CTABGAN_1_SVM,0.97,0.607,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0
CTABGAN_1_RF,0.968,0.722,0.189,0.125,0.385,0.16,0.125,0.006,0.994,0.875
CTABGAN_1_XGB,0.967,0.713,0.214,0.15,0.375,0.162,0.15,0.008,0.992,0.85
CTABGAN_2_LR,0.97,0.729,0.0,0.0,0.0,0.084,0.0,0.0,1.0,1.0
CTABGAN_2_DT,0.949,0.587,0.171,0.175,0.167,0.059,0.175,0.027,0.973,0.825
CTABGAN_2_KNN,0.969,0.587,0.046,0.025,0.286,0.05,0.025,0.002,0.998,0.975
CTABGAN_2_NB,0.937,0.717,0.097,0.112,0.085,0.078,0.112,0.037,0.963,0.888
CTABGAN_2_SVM,0.97,0.602,0.0,0.0,0.0,0.094,0.0,0.0,1.0,1.0
CTABGAN_2_RF,0.968,0.703,0.189,0.125,0.385,0.162,0.125,0.006,0.994,0.875
CTABGAN_2_XGB,0.966,0.698,0.211,0.15,0.353,0.158,0.15,0.008,0.992,0.85
CTABGAN_3_LR,0.97,0.727,0.0,0.0,0.0,0.082,0.0,0.0,1.0,1.0
CTABGAN_3_DT,0.949,0.586,0.18,0.188,0.172,0.06,0.188,0.028,0.972,0.812
CTABGAN_3_KNN,0.969,0.58,0.047,0.025,0.333,0.05,0.025,0.002,0.998,0.975
CTABGAN_3_NB,0.94,0.721,0.11,0.125,0.099,0.079,0.125,0.035,0.965,0.875
CTABGAN_3_SVM,0.97,0.568,0.0,0.0,0.0,0.081,0.0,0.0,1.0,1.0
